Abbreviation of the operating point;Name of the operating point;Abkuerzung Betriebspunkt Strecke;Name of operating point distance;LINIE;Kilometry of the operating point;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
CHNN;Chambrelien Nord (bif);CHN;Chambrelien;223;10.2231;Neuchatel-Vauseyon - Chambrelien;SBB;2552430.956;1202117.72;46.9684210836,6.81355098678;8515316;15316;Chambrelien Nord (bif);http://lod.opentransportdata.swiss/didok/8515316
CHNN;Chambrelien Nord (bif);CHN;Chambrelien;224;10.5849;Chambrelien Nord - Le Locle (Frontiere);SBB;2552430.956;1202117.72;46.9684210836,6.81355098678;8515316;15316;Chambrelien Nord (bif);http://lod.opentransportdata.swiss/didok/8515316
CHW;Chur West (Gleisende);CH;Chur;900;26.70952;Sargans Ost - Chur West (Gleisende);SBB;2758455.069;1190928.376;46.8506110992,9.51647462024;8515439;15439;Chur West (Gleisende);http://lod.opentransportdata.swiss/didok/8515439
CHY;Chambesy;CHY;Chambesy;150;56.781;Lausanne - Geneve-Aeroport;SBB;2500399.7227;1121877.809;46.2409448637,6.14730428549;8501020;1020;Chambésy;http://lod.opentransportdata.swiss/didok/8501020
CLA;Claro;CLA;Claro;600;143.46906;Immensee - Bellinzona - Chiasso;SBB;2721711.045;1123640.034;46.2531780385,9.01704680856;8505211;5211;Claro;http://lod.opentransportdata.swiss/didok/8505211
CN;Corcelles-Nord;CN;Corcelles-Nord;251;60.75736;Palezieux Est - Lyss Nord;SBB;2563507.572;1187236.014;46.8352620756,6.96029444826;8504123;4123;Corcelles-Nord;http://lod.opentransportdata.swiss/didok/8504123
COI;Vernier;COI;Vernier;151;64.775;Geneve St-Jean - La Plaine-Frontiere;SBB;2496241.851;1119699.001;46.2207186884,6.09389169475;8501007;1007;Vernier;http://lod.opentransportdata.swiss/didok/8501007
CORI;Cornaux industrie;CORI;Cornaux industrie;216;1.6;Cornaux - Raffinerie - Juracime;SBB;2568999.9765;1209725.5174;47.0378360656,7.0307499543;8516194;16194;Cornaux industrie;http://lod.opentransportdata.swiss/didok/8516194
CORN;Cornaux;CORN;Cornaux;216;0.0;Cornaux - Raffinerie - Juracime;SBB;2568439.194;1209810.291;47.0385720221,7.02336560983;8504223;4223;Cornaux;http://lod.opentransportdata.swiss/didok/8504223
CS;Corcelles-Sud;CS;Corcelles-Sud;253;29.73142;Payerne Est - Fribourg Nord;SBB;2563266.514;1186524.361;46.8288473641,6.95719212459;8504135;4135;Corcelles-Sud;http://lod.opentransportdata.swiss/didok/8504135
