Abbreviation of the operating point;Name of the operating point;Abkuerzung Betriebspunkt Strecke;Name of operating point distance;LINIE;Kilometry of the operating point;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
PDS;Les Paluds;PDS;Les Paluds;100;50.0688;Lausanne - Simplon Tunnel I - Iselle;SBB;2566191.785;1119886.651;46.2295693052,7.00042314946;8501440;1440;Les Paluds;http://lod.opentransportdata.swiss/didok/8501440
PDS;Les Paluds;PDS;Les Paluds;131;1.472;Les Paluds - St-Gingolph (Frontiere);SBB;2566191.785;1119886.651;46.2295693052,7.00042314946;8501440;1440;Les Paluds;http://lod.opentransportdata.swiss/didok/8501440
PF;Pfaffikon SZ;PF;Pfaffikon SZ;720;33.43889;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB;2701487.49;1228871.97;47.2029974431,8.77812981895;8503209;3209;Pfäffikon SZ;http://lod.opentransportdata.swiss/didok/8503209
PFOS;Pfaffikon SZ Ost (Abzw);PF;Pfaffikon SZ;720;34.01138;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB;2702060.885;1228867.325;47.2028673294,8.78569540906;8515165;15165;Pfäffikon SZ Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515165
PIA;Pianotondo (c bin);PIA;Pianotondo (c bin);600;117.41615;Immensee - Bellinzona - Chiasso;SBB;2709337.643;1142040.408;46.4207996151,8.8609454135;8505244;5244;Pianotondo (c bin);http://lod.opentransportdata.swiss/didok/8505244
PIE;Pieterlen;PIE;Pieterlen;410;90.21118;Olten - Solothurn - Biel/Bienne;SBB;2592537.302;1224502.716;47.17144119,7.34019351187;8500200;200;Pieterlen;http://lod.opentransportdata.swiss/didok/8500200
POR;Porrentruy;POR;Porrentruy;238;0.0;Porrentruy - Bonfol;SBB;2572944.253;1252296.688;47.4209164009,7.08007724521;8500126;126;Porrentruy;http://lod.opentransportdata.swiss/didok/8500126
POR;Porrentruy;POR;Porrentruy;240;112.87444;Delemont - Delle;SBB;2572944.253;1252296.688;47.4209164009,7.08007724521;8500126;126;Porrentruy;http://lod.opentransportdata.swiss/didok/8500126
PORS;Porrentruy Sud;POR;Porrentruy;240;112.53912;Delemont - Delle;SBB;2572992.012;1251961.057;47.4178996995,7.08073051749;8515353;15353;Porrentruy Sud;http://lod.opentransportdata.swiss/didok/8515353
POU;Poudeille;NV;La Neuveville;9210;92.595;La Neuveville - Tuscherz;SBB;2575743.623;1214085.382;47.0773346088,7.11924348991;8519654;19654;Poudeille;http://lod.opentransportdata.swiss/didok/8519654
POZZ;Pozzo Negro (dira);POZZ;Pozzo Negro (dira);590;156.81765;Verbindungslinie GBT Pollegio Nord;SBB;2714394.042;1136773.296;46.3725834647,8.92540725339;8515715;15715;Pozzo Negro (dira);http://lod.opentransportdata.swiss/didok/8515715
POZZ;Pozzo Negro (dira);POZZ;Pozzo Negro (dira);594;256.8376;GBT West;SBB;2714394.042;1136773.296;46.3725834647,8.92540725339;8515715;15715;Pozzo Negro (dira);http://lod.opentransportdata.swiss/didok/8515715
PRW;Pratteln West;PR;Pratteln;530;6.86115;Basel SBB RB I  - Schweizerhalle;SBB;2617578.999;1263902.794;47.5256274078,7.67204044495;8515422;15422;Pratteln West;http://lod.opentransportdata.swiss/didok/8515422
QUA;Quartino;QUA;Quartino;631;163.95801;Cadenazzo - Pino confine;SBB;2711918.975;1112123.457;46.1512981154,8.88733128001;8505405;5405;Quartino;http://lod.opentransportdata.swiss/didok/8505405
RANS;Rank (Spw);RANS;Rank (Spw);450;49.07453;Olten Sud - Bern;SBB;2631304.577;1237721.777;47.2896449462,7.85245879317;8515731;15731;Rank (Spw);http://lod.opentransportdata.swiss/didok/8515731
RAR;Raron;RAR;Raron;100;130.09;Lausanne - Simplon Tunnel I - Iselle;SBB;2627955.266;1128383.073;46.3062743875,7.80151065367;8501604;1604;Raron;http://lod.opentransportdata.swiss/didok/8501604
RBG;Rothenburg;RBG;Rothenburg;500;84.54878;Basel SBB - Olten - Luzern;SBB;2661421.206;1215669.095;47.0881900168,8.24918003636;8502020;2020;Rothenburg;http://lod.opentransportdata.swiss/didok/8502020
RBLD;RBL Depot;RBL;Zurich RB Limmattal;694;12.04321;RBL Depot;SBB;2672338.929;1251728.942;47.4124001897,8.39713717222;8503043;3043;RBL Depot;http://lod.opentransportdata.swiss/didok/8503043
RBLK;RBL Kopf Killwangen;RBL;Zurich RB Limmattal;692;15.21401;RBL Nord;SBB;2669838.939;1253587.997;47.4293895115,8.36430519505;8503041;3041;RBL Kopf Killwangen;http://lod.opentransportdata.swiss/didok/8503041
RBLO;RBL Ost;RBL;Zurich RB Limmattal;695;12.66491;RBL R-Gruppe;SBB;2671794.924;1252038.945;47.4152477925,8.38997937488;8503542;3542;RBL Ost;http://lod.opentransportdata.swiss/didok/8503542
RBLZ;RBL Kopf Zurich;DT;Dietikon;691;11.40198;RBL Kopf Zurich - Killwangen West;SBB;2672819.967;1251312.943;47.4086058875,8.40344269694;8503042;3042;RBL Kopf Zürich;http://lod.opentransportdata.swiss/didok/8503042
RBLZ;RBL Kopf Zurich;DT;Dietikon;692;11.40198;RBL Nord;SBB;2672819.967;1251312.943;47.4086058875,8.40344269694;8503042;3042;RBL Kopf Zürich;http://lod.opentransportdata.swiss/didok/8503042
REB;Rebstein-Marbach;REB;Rebstein-Marbach;880;44.28637;Sargans Ost - St.Gallen;SBB;2762163.295;1251310.245;47.3926400649,9.58675416246;8506318;6318;Rebstein-Marbach;http://lod.opentransportdata.swiss/didok/8506318
REID;Reiden;REID;Reiden;500;52.99445;Basel SBB - Olten - Luzern;SBB;2640139.37;1232418.562;47.2414683541,7.96877438545;8502003;2003;Reiden;http://lod.opentransportdata.swiss/didok/8502003
RHS;Romanshorn Sud (Abzw);RHS;Romanshorn Sud (Abzw);869;1.15843;Romanshorn Sud - St.Gallen St.Fiden;SBB;2745945.725;1268974.678;47.5552588324,9.37780034573;8506144;6144;Romanshorn Süd (Abzw);http://lod.opentransportdata.swiss/didok/8506144
RIAZ;Riazzino;RIAZ;Riazzino;630;164.923;Giubiasco - Locarno;SBB;2711797.527;1114793.893;46.1753362757,8.88639741178;8505412;5412;Riazzino;http://lod.opentransportdata.swiss/didok/8505412
RIBN;Rivera-Bironico Nord;RIB;Rivera-Bironico;607;164.74853;Mt. Ceneri - Rivera  (binario destro);SBB;2714760.488;1109622.048;46.1283225378,8.92349053649;8515423;15423;Rivera-Bironico Nord;http://lod.opentransportdata.swiss/didok/8515423
RIK;Rickenbach-Attikon;RIK;Rickenbach-Attikon;840;33.53471;Winterthur Nord - Romanshorn;SBB;2701688.211;1265833.311;47.5353573659,8.78917502501;8506018;6018;Rickenbach-Attikon;http://lod.opentransportdata.swiss/didok/8506018
RMZ;Ramismuhle-Zell;RMZ;Ramismuhle-Zell;754;13.52105;Winterthur Gruze - Bauma - Ruti ZH West;SBB;2704127.491;1255442.879;47.441539004,8.81913731151;8506006;6006;Rämismühle-Zell;http://lod.opentransportdata.swiss/didok/8506006
ROC;Roche VD;ROC;Roche VD;100;33.84125;Lausanne - Simplon Tunnel I - Iselle;SBB;2560625.287;1134275.142;46.3586963543,6.92705287661;8501304;1304;Roche VD;http://lod.opentransportdata.swiss/didok/8501304
ROM;Romont;ROM;Romont;250;40.1979;Lausanne Est - Bern;SBB;2559702.789;1171501.671;46.6935082523,6.91181143328;8504023;4023;Romont;http://lod.opentransportdata.swiss/didok/8504023
RS;Rorschach;RS;Rorschach;825;97.26665;Romanshorn Feld H - Rorschach;SBB;2755753.754;1260632.362;47.4780019584,9.50514123365;8506311;6311;Rorschach;http://lod.opentransportdata.swiss/didok/8506311
RSHF;Rorschach Hafen;RSHF;Rorschach Hafen;825;96.31988;Romanshorn Feld H - Rorschach;SBB;2754831.38;1260673.523;47.4785898914,9.49292329258;8506306;6306;Rorschach Hafen;http://lod.opentransportdata.swiss/didok/8506306
RSO;Rorschach Ost (Abzw);RS;Rorschach;857;0.06006;Rorschach Ost (Abzw) - Heiden;SBB;2756380.89;1260669.184;47.4781841263,9.51347106753;8515464;15464;Rorschach Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515464
RSST;Rorschach Stadt;RSST;Rorschach Stadt;880;66.27202;Sargans Ost - St.Gallen;SBB;2754571.869;1260333.327;47.4755923529,9.48936372278;8506322;6322;Rorschach Stadt;http://lod.opentransportdata.swiss/didok/8506322
RTR;Rothrist;RTR;Rothrist;453;46.19971;Rothrist Ost - Rothrist Gleis 4;SBB;2633331.79;1239601.841;47.3064556705,7.87939646797;8508103;8103;Rothrist;http://lod.opentransportdata.swiss/didok/8508103
RU;Rupperswil;RU;Rupperswil;640;43.50093;Brugg - Rupperswil;SBB;2651957.9;1250502.203;47.4032902238,8.12695636496;8502114;2114;Rupperswil;http://lod.opentransportdata.swiss/didok/8502114
RU;Rupperswil;RU;Rupperswil;650;35.6368;Killwangen West - Lenzburg - Daniken Ost;SBB;2651957.9;1250502.203;47.4032902238,8.12695636496;8502114;2114;Rupperswil;http://lod.opentransportdata.swiss/didok/8502114
RUC;Ruchfeld;RUC;Ruchfeld;528;0.99136;Ruchfeld - Basel SBB Dreispitz;SBB;2613061.06;1264814.634;47.5339332271,7.61207697245;8500046;46;Ruchfeld;http://lod.opentransportdata.swiss/didok/8500046
RUEN;Rumikon AG;RUEN;Rumikon AG;701;34.54316;Eglisau - Koblenz - Stein Sackingen Ost;SBB;2670365.066;1268716.034;47.5653838134,8.37366697038;8503415;3415;Rümikon AG;http://lod.opentransportdata.swiss/didok/8503415
RYAB;Rynacht (Abzw);RYAB;Rynacht (Abzw);594;198.8817;GBT West;SBB;2691856.279;1188733.456;46.8434016193,8.64290161721;8516251;16251;Rynächt (Abzw);http://lod.opentransportdata.swiss/didok/8516251
RYSP;Rynacht (Spw);RYSP;Rynacht (Spw);595;99.45054;GBT Ost;SBB;2692040.126;1188170.988;46.8383172073,8.64519819316;8515712;15712;Rynächt (Spw);http://lod.opentransportdata.swiss/didok/8515712
RZ;Rafz;RZ;Rafz;770;27.03774;Bulach - Eglisau - Neuhausen;SBB;2683080.966;1273152.803;47.6037967676,8.54345146419;8503404;3404;Rafz;http://lod.opentransportdata.swiss/didok/8503404
SA;Sargans;SA;Sargans;890;0.1684;Sargans Ost - Ziegelbrucke;SBB;2752549.277;1212372.612;47.0453599813,9.4453999633;8509411;9411;Sargans;http://lod.opentransportdata.swiss/didok/8509411
SADI;Sare (dira);SADI;Sare (dira);581;340.23247;CBT Ovest;SBB;2716768.601;1100682.842;46.0475795287,8.94724241917;8516168;16168;Sarè (dira);http://lod.opentransportdata.swiss/didok/8516168
SAF;Safenwil;SAF;Safenwil;504;6.56045;Zofingen - Suhr;SBB;2641193.734;1241352.5;47.3217579027,7.98351818243;8502100;2100;Safenwil;http://lod.opentransportdata.swiss/didok/8502100
SAOS;Sargans Ost;SA;Sargans;880;-0.10505;Sargans Ost - St.Gallen;SBB;2752758.187;1212198.092;47.043206083,9.44894983211;8515469;15469;Sargans Ost;http://lod.opentransportdata.swiss/didok/8515469
SAOS;Sargans Ost;SA;Sargans;900;0.10013;Sargans Ost - Chur West (Gleisende);SBB;2752758.187;1212198.092;47.043206083,9.44894983211;8515469;15469;Sargans Ost;http://lod.opentransportdata.swiss/didok/8515469
SCB;Sonceboz-Sombeval;SCB;Sonceboz-Sombeval;225;48.28167;Biel/Bienne West - La Chaux-de-Fonds;SBB;2579549.737;1227169.062;47.1951483393,7.16876361824;8504304;4304;Sonceboz-Sombeval;http://lod.opentransportdata.swiss/didok/8504304
SCHN;Schlattingen;SCHN;Schlattingen;820;35.56775;Etzwilen - Schaffhausen;SBB;2700029.496;1280402.751;47.6666243222,8.77043377057;8503429;3429;Schlattingen;http://lod.opentransportdata.swiss/didok/8503429
SCHO;Schofflisdorf-Oberweningen;SCHO;Schofflisdorf-Oberweningen;761;21.65496;Oberglatt - Niederweningen Gleisende;SBB;2673328.427;1261256.062;47.4979713419,8.41181234179;8503317;3317;Schöfflisdorf-Oberweningen;http://lod.opentransportdata.swiss/didok/8503317
SCOE;Schonenwerd SO;SCOE;Schonenwerd SO;540;48.1296;Olten - Woschnau;SBB;2642412.224;1246883.137;47.3714238978,8.00015834607;8502112;2112;Schönenwerd SO;http://lod.opentransportdata.swiss/didok/8502112
SD;Saland;SD;Saland;754;21.24776;Winterthur Gruze - Bauma - Ruti ZH West;SBB;2706868.417;1250228.837;47.3942114352,8.85422140108;8506009;6009;Saland;http://lod.opentransportdata.swiss/didok/8506009
SDO;Schinznach Dorf;SDO;Schinznach Dorf;699;39.28351;Neuer Bozbergtunnel;SBB;2652193.686;1256486.69;47.4570946118,8.13077885548;8500308;308;Schinznach Dorf;http://lod.opentransportdata.swiss/didok/8500308
SDO;Schinznach Dorf;SDO;Schinznach Dorf;700;39.28288;Brugg - Pratteln Ost;SBB;2652193.686;1256486.69;47.4570946118,8.13077885548;8500308;308;Schinznach Dorf;http://lod.opentransportdata.swiss/didok/8500308
SEM;Sempach-Neuenkirch;SEM;Sempach-Neuenkirch;500;78.9919;Basel SBB - Olten - Luzern;SBB;2657475.924;1218617.079;47.1160532209,8.19597900562;8502009;2009;Sempach-Neuenkirch;http://lod.opentransportdata.swiss/didok/8502009
SETS;Sedrun Entluftungsstollen;SETS;Sedrun Entluftungsstollen;5003;1.41682;Sedrun Zugangs- und Entluftungsstollen;SBB;2702142.233;1168784.328;46.6624770918,8.77328076824;8518493;18493;Sedrun Entlüftungsstollen;http://lod.opentransportdata.swiss/didok/8518493
SG;St. Gallen;SG;St. Gallen;880;80.49223;Sargans Ost - St.Gallen;SBB;2745712.515;1254278.969;47.4231789578,9.36989672929;8506302;6302;St Gallen;http://lod.opentransportdata.swiss/didok/8506302
SGW;St. Gallen West (Abzw);SG;St. Gallen;870;22.52032;St.Gallen West - Lichtensteig;SBB;2744946.904;1253501.261;47.4163553074,9.35950093782;8506218;6218;St Gallen West (Abzw);http://lod.opentransportdata.swiss/didok/8506218
SGWI;St. Gallen Winkeln;SGWI;St. Gallen Winkeln;850;86.38234;St.Gallen - Winterthur Nord;SBB;2740555.584;1252013.398;47.4039294299,9.300860239;8506300;6300;St Gallen Winkeln;http://lod.opentransportdata.swiss/didok/8506300
SH;Schaffhausen;SH;Schaffhausen;763;364.421;Basel Bad Bhf - Waldshut - Schaffhausen;SBB;2689636.089;1283755.982;47.6982814967,8.63275579305;8503424;3424;Schaffhausen;http://lod.opentransportdata.swiss/didok/8503424
SIFE;Sigirino finestra est;SIFE;Sigirino finestra est;5010;2.39383;Sigirino finestra;SBB;2717478.056;1104478.703;46.0815957781,8.95735535265;8518499;18499;Sigirino finestra est;http://lod.opentransportdata.swiss/didok/8518499
SIG;Siggenthal-Wurenlingen;SIG;Siggenthal-Wurenlingen;702;31.07094;Turgi - Koblenz - Waldshut;SBB;2660407.034;1263636.101;47.5206899852,8.24065994297;8503502;3502;Siggenthal-Würenlingen;http://lod.opentransportdata.swiss/didok/8503502
SIO;Sion;SIO;Sion;100;92.43206;Lausanne - Simplon Tunnel I - Iselle;SBB;2593870.441;1119570.816;46.2275532324,7.35919702156;8501506;1506;Sion;http://lod.opentransportdata.swiss/didok/8501506
SIR;Sirnach;SIR;Sirnach;850;113.83192;St.Gallen - Winterthur Nord;SBB;2717758.153;1257973.539;47.4619971136,9.00047421982;8506010;6010;Sirnach;http://lod.opentransportdata.swiss/didok/8506010
SIVS;Siviriez saut kilometrique;SIVS;Siviriez saut kilometrique;250;33.7113;Lausanne Est - Bern;SBB;2556649.128;1165967.667;46.6435365148,6.87241412081;8516162;16162;Siviriez saut kilométrique;http://lod.opentransportdata.swiss/didok/8516162
SKN;Sisikon Nord;SK;Sisikon;604;25.8;Brunnen - Sisikon (Gleis links);SBB;2689949.013;1200977.965;46.951159974,8.62097993582;8515426;15426;Sisikon Nord;http://lod.opentransportdata.swiss/didok/8515426
SLN;Sisseln;SLN;Sisseln;701;71.00126;Eglisau - Koblenz - Stein Sackingen Ost;SBB;2641741.993;1266248.712;47.5456365896,7.99309499698;8500321;321;Sisseln;http://lod.opentransportdata.swiss/didok/8500321
SMG;St. Margrethen;SMG;St. Margrethen;880;53.81952;Sargans Ost - St.Gallen;SBB;2765861.81;1258150.432;47.4532159757,9.6382619195;8506314;6314;St Margrethen;http://lod.opentransportdata.swiss/didok/8506314
SO;Solothurn;SO;Solothurn;292;0.0;Solothurn - Bern RBS;SBB;2607884.418;1228144.25;47.2041925029,7.54268923738;8500207;207;Solothurn;http://lod.opentransportdata.swiss/didok/8500207
SO;Solothurn;SO;Solothurn;410;73.81863;Olten - Solothurn - Biel/Bienne;SBB;2607884.418;1228144.25;47.2041925029,7.54268923738;8500207;207;Solothurn;http://lod.opentransportdata.swiss/didok/8500207
SO;Solothurn;SO;Solothurn;411;0.0;Solothurn - Niederbipp;SBB;2607884.418;1228144.25;47.2041925029,7.54268923738;8500207;207;Solothurn;http://lod.opentransportdata.swiss/didok/8500207
SORM;Solothurn RM (Abzw);SO;Solothurn;421;0.30584;Solothurn RM - Burgdorf West;SBB;2607733.7847;1228085.9172;47.2036696078,7.54070017935;8515425;15425;Solothurn RM (Abzw);http://lod.opentransportdata.swiss/didok/8515425
SSMN;Sedrun SMF Nord;SSMF;Sedrun SMF;594;220.41576;GBT West;SBB;2701753.412;1169722.999;46.6709790811,8.7684090693;8518322;18322;Sedrun SMF Nord;http://lod.opentransportdata.swiss/didok/8518322
SSMS;Sedrun SMF Sud;SSMF;Sedrun SMF;594;221.58424;GBT West;SBB;2701948.122;1168570.858;46.6605867672,8.77069756198;8518323;18323;Sedrun SMF Süd;http://lod.opentransportdata.swiss/didok/8518323
STAF;Stabio;STAF;Stabio;634;3.55921;Mendrisio Sud - Stabio;SBB;2716935.273;1078685.209;45.8497096649,8.94394217592;8517519;17519;Stabio;http://lod.opentransportdata.swiss/didok/8517519
STMR;Steinmaur;STMR;Steinmaur;761;18.79256;Oberglatt - Niederweningen Gleisende;SBB;2675980.316;1260401.692;47.4899867403,8.44685782722;8503316;3316;Steinmaur;http://lod.opentransportdata.swiss/didok/8503316
STSO;Stein-Sackingen Ost (Abzw);STS;Stein-Sackingen;701;73.96986;Eglisau - Koblenz - Stein Sackingen Ost;SBB;2638855.642;1265586.944;47.5398618408,7.95469800529;8515474;15474;Stein-Säckingen Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515474
SUB;Suberg-Grossaffoltern;SUB;Suberg-Grossaffoltern;260;19.92432;Zollikofen Nord - Biel/Bienne Aebistr.;SBB;2592431.116;1211978.038;47.0587821329,7.33900490751;8504413;4413;Suberg-Grossaffoltern;http://lod.opentransportdata.swiss/didok/8504413
SV;Sonvilier;SV;Sonvilier;225;65.17342;Biel/Bienne West - La Chaux-de-Fonds;SBB;2564402.701;1221258.634;47.1413420826,6.9693527658;8504311;4311;Sonvilier;http://lod.opentransportdata.swiss/didok/8504311
TAOO;Tanklager O'fingen (Gleisende);TAOO;Tanklager O'fingen (Gleisende);705;31.5086;Tanklager Otelfingen Ost - Otelfingen;SBB;2673677.602;1256760.17;47.4574995928,8.41570308865;8515479;15479;Tanklager O'fingen (Gleisende);http://lod.opentransportdata.swiss/didok/8515479
TAOW;Tanklager Oberhasli (Gleisend);TAOW;Tanklager Oberhasli (Gleisend);768;27.52582;Niederglatt - Tanklager Oberhasli West;SBB;2677378.999;1256745.7;47.4569445809,8.46478143136;8515480;15480;Tanklager Oberhasli (Gleisend);http://lod.opentransportdata.swiss/didok/8515480
TAVS;Taverne-Torricella Sud (bif);TAV;Taverne-Torricella;600;174.48663;Immensee - Bellinzona - Chiasso;SBB;2715297.919;1101196.961;46.0524562668,8.92837262091;8515432;15432;Taverne-Torricella Sud (bif);http://lod.opentransportdata.swiss/didok/8515432
TH;Thun;TH;Thun;290;137.02;Bern Wylerfeld - Thun;SBB;2614590.895;1178202.885;46.7548527757,7.62960576339;8507100;7100;Thun;http://lod.opentransportdata.swiss/didok/8507100
THAB;Thun (Abzw);TH;Thun;290;136.15;Bern Wylerfeld - Thun;SBB;2613949.053;1178788.244;46.7601319183,7.62122295163;8515629;15629;Thun (Abzw);http://lod.opentransportdata.swiss/didok/8515629
THAB;Thun (Abzw);TH;Thun;299;136.15;Thun AB - Thun;SBB;2613949.053;1178788.244;46.7601319183,7.62122295163;8515629;15629;Thun (Abzw);http://lod.opentransportdata.swiss/didok/8515629
THEG;Thun (Eigentumsgrenze);TH;Thun;310;0.06183;Thun - Spiez - Interlaken Ost;SBB;2614851.738;1177702.999;46.7503503253,7.63300369049;8515365;15365;Thun (Eigentumsgrenze);http://lod.opentransportdata.swiss/didok/8515365
TK;Tecknau;TK;Tecknau;500;28.16;Basel SBB - Olten - Luzern;SBB;2633865.016;1255093.279;47.4457602157,7.88761824413;8500028;28;Tecknau;http://lod.opentransportdata.swiss/didok/8500028
TOEM;Tossmuhle;TOEM;Tossmuhle;9780;359.74772;Bruttenertunnel West;SBB;2695552.583;1258887.986;47.4738213879,8.70621041121;8515178;15178;Tössmühle;http://lod.opentransportdata.swiss/didok/8515178
TR;Travers;TR;Travers;219;22.44673;Auvernier - Les Verrieres frontiere;SBB;2541978.151;1199318.701;46.9424115259,6.67656164287;8504215;4215;Travers;http://lod.opentransportdata.swiss/didok/8504215
TUI;Les Tuileries;TUI;Les Tuileries;150;55.78;Lausanne - Geneve-Aeroport;SBB;2500418.771;1122878.284;46.2499463098,6.14733744682;8501011;1011;Les Tuileries;http://lod.opentransportdata.swiss/didok/8501011
TWN;Twann;TWN;Twann;210;95.976;Daillens - Biel/Bienne;SBB;2578579.483;1215889.886;47.0936641015,7.15649746383;8504228;4228;Twann;http://lod.opentransportdata.swiss/didok/8504228
UZ;Uznach;UZ;Uznach;853;34.38702;Wil Sud - Wattwil - Uznach;SBB;2716786.192;1231519.783;47.2242827695,8.98069078676;8503116;3116;Uznach;http://lod.opentransportdata.swiss/didok/8503116
VAL;Vallorbe;VAL;Vallorbe;203;461.62982;Frasne - Vallorbe;SBB;2518333.128;1174023.894;46.7124062886,6.37056566227;8501103;1103;Vallorbe;http://lod.opentransportdata.swiss/didok/8501103
VEZB;Vezia (bif);VEZB;Vezia (bif);580;243.02067;CBT Est;SBB;2715840.868;1098231.589;46.0256931708,8.93465561008;8515720;15720;Vezia (bif);http://lod.opentransportdata.swiss/didok/8515720
VEZB;Vezia (bif);VEZB;Vezia (bif);581;342.91453;CBT Ovest;SBB;2715840.868;1098231.589;46.0256931708,8.93465561008;8515720;15720;Vezia (bif);http://lod.opentransportdata.swiss/didok/8515720
VG;Villars-sur-Glane;VG;Villars-sur-Glane;250;62.1187;Lausanne Est - Bern;SBB;2575394.82;1182124.48;46.7898298188,7.11638562388;8504030;4030;Villars-sur-Glâne;http://lod.opentransportdata.swiss/didok/8504030
VSPW;Villnachern (Spw);VSPW;Villnachern (Spw);700;35.34275;Brugg - Pratteln Ost;SBB;2654758.524;1258512.69;47.4751072981,8.16503850082;8500312;312;Villnachern (Spw);http://lod.opentransportdata.swiss/didok/8500312
VVO;Vevey Ouest (bif);VV;Vevey;100;17.636;Lausanne - Simplon Tunnel I - Iselle;SBB;2553719.727;1146434.252;46.4676302664,6.83611721676;8515369;15369;Vevey Ouest (bif);http://lod.opentransportdata.swiss/didok/8515369
WAE;Wadenswil;WAE;Wadenswil;670;-0.09455;Wadenswil - Einsiedeln;SBB;2693644.81;1231668.66;47.2293072774,8.67521627099;8503206;3206;Wädenswil;http://lod.opentransportdata.swiss/didok/8503206
